2023-03-12 19:55:34,898 - mylog - INFO - RINAS AIRPORT,里纳斯机场,TIRANA,地拉那,ALBANIA,阿尔巴尼亚,TIA,
2023-03-12 19:55:43,754 - mylog - INFO - 4 DE FEVEREIRO AIRPORT,罗安达 for de Fevereiro 机场,LUANDA,罗安达,ANGOLA,安哥拉,LAD,
2023-03-12 19:55:43,863 - mylog - INFO - LUKAPA AIRPORT,,LUKAPA,,ANGOLA,安哥拉,LBZ,
2023-03-12 19:55:43,966 - mylog - INFO - LUENA AIRPORT,卢埃纳机场,LUENA,卢埃纳,ANGOLA,安哥拉,LUO,
2023-03-12 19:55:44,080 - mylog - INFO - LUZAMBA AIRPORT,卢桑巴机场,LUZAMBA,卢桑巴,ANGOLA,安哥拉,LZM,
2023-03-12 19:55:44,183 - mylog - INFO - MALANGE AIRPORT,马兰热机场,MALANGE,马兰热,ANGOLA,安哥拉,MEG,
2023-03-12 19:55:44,299 - mylog - INFO - NAMIBE AIRPORT,纳米比机场,NAMIBE,纳米比,ANGOLA,安哥拉,MSZ,
2023-03-12 19:55:44,400 - mylog - INFO - SUMBE AIRPORT,松贝机场,SUMBE,松贝,ANGOLA,安哥拉,NDD,
2023-03-12 19:55:44,519 - mylog - INFO - NDALATANDOS AIRPORT,,NDALATANDOS,,ANGOLA,安哥拉,NDF,
2023-03-12 19:55:44,630 - mylog - INFO - NGIVA AIRPORT,翁吉瓦机场,NGIVA,翁吉瓦,ANGOLA,安哥拉,NGV,
2023-03-12 19:55:44,750 - mylog - INFO - HUAMBO AIRPORT,万博机场,HUAMBO,万博,ANGOLA,安哥拉,NOV,
2023-03-12 19:55:44,859 - mylog - INFO - NZAGI AIRPORT,,NZAGI,,ANGOLA,安哥拉,NZA,
2023-03-12 19:55:44,967 - mylog - INFO - PORTO AMBOIM AIRPORT,安博因港机场,PORTO AMBOIM,安博因港,ANGOLA,安哥拉,PBN,
2023-03-12 19:55:45,077 - mylog - INFO - CHITATO AIRPORT,奇坦托机场,CHITATO,奇坦托,ANGOLA,安哥拉,PGI,
2023-03-12 19:55:45,201 - mylog - INFO - LUBANGO AIRPORT,卢班戈机场,LUBANGO,卢班戈,ANGOLA,安哥拉,SDD,
2023-03-12 19:55:45,309 - mylog - INFO - MENONGUE AIRPORT,梅农盖机场,MENONGUE,梅农盖,ANGOLA,安哥拉,SPP,
2023-03-12 19:55:45,428 - mylog - INFO - M'BANZA CONGO AIRPORT,姆班扎刚果机场,M'BANZA CONGO,姆班扎刚果,ANGOLA,安哥拉,SSY,
2023-03-12 19:55:45,564 - mylog - INFO - KUITO AIRPORT,库依托机场,KUITO,库依托,ANGOLA,安哥拉,SVP,
2023-03-12 19:55:45,678 - mylog - INFO - SOYO AIRPORT,苏阳机场,SOYO,苏阳,ANGOLA,安哥拉,SZA,
2023-03-12 19:55:45,788 - mylog - INFO - LUAU AIRPORT,,LUAU,,ANGOLA,安哥拉,UAL,
2023-03-12 19:55:45,902 - mylog - INFO - UIGE AIRPORT,威热机场,UIGE,威热,ANGOLA,安哥拉,UGO,
2023-03-12 19:55:46,024 - mylog - INFO - SAURIMO AIRPORT,绍里木机场,SAURIMO,绍里木,ANGOLA,安哥拉,VHC,
2023-03-12 19:55:46,133 - mylog - INFO - ONGIVA AIRPORT,,ONGIVA,,ANGOLA,安哥拉,VPE,
2023-03-12 19:55:46,243 - mylog - INFO - XANGONGO AIRPORT,,XANGONGO,,ANGOLA,安哥拉,XGN,
2023-03-12 19:55:46,750 - mylog - INFO - V.C. BIRD INT AIRPORT,圣约翰的V.C.Bird国际机场,ANTIGUA,圣约翰的,ANTIGUA AND BARBUDA,安提瓜和巴布达,ANU,
2023-03-12 19:55:46,860 - mylog - INFO - BARBUDA AIRPORT,巴布达岛机场,BARBUDA,巴布达岛,ANTIGUA AND BARBUDA,安提瓜和巴布达,BBQ,
2023-03-12 19:55:49,160 - mylog - INFO - JORGE NEWBERY AIRPORT,布宜诺斯艾利斯机场,BUENOS AIRES,布宜诺斯艾利斯,ARGENTINA,阿根廷,AEP,
2023-03-12 19:55:49,260 - mylog - INFO - SAN RAFAEL AIRPORT,圣拉斐尔机场,SAN RAFAEL,圣拉斐尔,ARGENTINA,阿根廷,AFA,
2023-03-12 19:55:49,361 - mylog - INFO - PASO DE LOS LIBRES AIRPORT,帕索德拉斯利布雷斯机场,PASO DE LOS LIBRES,帕索德拉斯利布雷斯,ARGENTINA,阿根廷,AOL,
2023-03-12 19:55:49,462 - mylog - INFO - ZAPALA AIRPORT,萨帕拉机场,ZAPALA,萨帕拉,ARGENTINA,阿根廷,APZ,
2023-03-12 19:55:49,563 - mylog - INFO - ALTO RIO SENGUERR AIRPORT,上里奥森格尔机场,ALTO RIO SENGUERR,上里奥森格尔,ARGENTINA,阿根廷,ARR,
2023-03-12 19:55:49,662 - mylog - INFO - COMANDANTE AIRPORT,,BAHIA BLANCA,布兰卡港,ARGENTINA,阿根廷,BHI,
2023-03-12 19:55:49,787 - mylog - INFO - SAN CARLOS DE BARILOCHE INT' AIRPORT,圣卡洛斯?巴国际机场,SAN CARLOS DE BARILOCHE,圣卡洛斯?巴,ARGENTINA,阿根廷,BRC,
2023-03-12 19:55:49,887 - mylog - INFO - COLONIA CATRIEL AIRPORT,科洛尼亚坎特利尔机场,COLONIA CATRIEL,科洛尼亚坎特利尔,ARGENTINA,阿根廷,CCT,
2023-03-12 19:55:49,994 - mylog - INFO - CLORINDA AIRPORT,克洛林达机场,CLORINDA,克洛林达,ARGENTINA,阿根廷,CLX,
2023-03-12 19:55:50,094 - mylog - INFO - CAMBA PUNTA AIRPORT,,CORRIENTES,科连特斯,ARGENTINA,阿根廷,CNQ,
2023-03-12 19:55:50,193 - mylog - INFO - CHARATA AIRPORT,查拉塔机场,CHARATA,查拉塔,ARGENTINA,阿根廷,CNT,
2023-03-12 19:55:50,292 - mylog - INFO - CONCORDIA AIRPORT,康科迪亚机场,CONCORDIA,康科迪亚,ARGENTINA,阿根廷,COC,
2023-03-12 19:55:50,390 - mylog - INFO - PAJAS BLANCAS AIRPORT,,CORDOBA,科尔多瓦,ARGENTINA,阿根廷,COR,
2023-03-12 19:55:50,487 - mylog - INFO - CHAPELCO AIRPORT,,SAN MARTIN DE LOS ANDES,圣马丁德洛斯安迪斯,ARGENTINA,阿根廷,CPC,
2023-03-12 19:55:50,586 - mylog - INFO - CARMEN DE PATAGONES AIRPORT,,CARMEN DE PATAGONES,,ARGENTINA,阿根廷,CPG,
2023-03-12 19:55:50,694 - mylog - INFO - COMODORO RIVADAVIA AIRPORT,科莫多罗?里瓦达维亚机场,COMODORO RIVADAVIA,科莫多罗?里瓦达维亚,ARGENTINA,阿根廷,CRD,
2023-03-12 19:55:50,794 - mylog - INFO - CERES AIRPORT,赛雷斯机场,CERES,赛雷斯,ARGENTINA,阿根廷,CRR,
2023-03-12 19:55:50,897 - mylog - INFO - BRIGADIER HECTOR RUIZ,,CORONEL SUAREZ,,ARGENTINA,阿根廷,CSZ,
2023-03-12 19:55:51,001 - mylog - INFO - CATAMARCA AIRPORT,卡塔马尔卡机场,CATAMARCA,卡塔马尔卡,ARGENTINA,阿根廷,CTC,
2023-03-12 19:55:51,103 - mylog - INFO - CUTRAL AIRPORT,库特拉尔科机场,CUTRAL,库特拉尔科,ARGENTINA,阿根廷,CUT,
2023-03-12 19:55:51,204 - mylog - INFO - CAVIAHUE AIRPORT,卡维尔夫机场,CAVIAHUE,卡维尔夫,ARGENTINA,阿根廷,CVH,
2023-03-12 19:55:51,302 - mylog - INFO - CALETA OLIVIA AIRPORT,奥利维亚机场,CALETA OLIVIA,奥利维亚,ARGENTINA,阿根廷,CVI,
2023-03-12 19:55:51,404 - mylog - INFO - EL BOLSON AIRPORT,,EL BOLSON,埃尔博尔松,ARGENTINA,阿根廷,EHL,
2023-03-12 19:55:51,511 - mylog - INFO - ELDORADO AIRPORT,波哥大机场,ELDORADO,波哥大,ARGENTINA,阿根廷,ELO,
2023-03-12 19:55:51,613 - mylog - INFO - EL MAITEN AIRPORT,埃尔梅滕机场,EL MAITEN,埃尔梅滕,ARGENTINA,阿根廷,EMX,
2023-03-12 19:55:51,718 - mylog - INFO - EL PALOMAR AIRPORT,阿根廷机场,EL PALOMAR,阿根廷,ARGENTINA,阿根廷,EPA,
2023-03-12 19:55:51,824 - mylog - INFO - ESQUEL AIRPORT,埃斯克尔机场,ESQUEL,埃斯克尔,ARGENTINA,阿根廷,EQS,
2023-03-12 19:55:51,922 - mylog - INFO - MINISTRO PISTARINI AIRPORT,布宜诺斯艾利斯国际机场,BUENOS AIRES,布宜诺斯艾利斯,ARGENTINA,阿根廷,EZE,
2023-03-12 19:55:52,021 - mylog - INFO - EL PUCU AIRPORT,,FORMOSA,福莫萨,ARGENTINA,阿根廷,FMA,
2023-03-12 19:55:52,126 - mylog - INFO - EL CALAFATE,,EL CALAFATE,,ARGENTINA,阿根廷,FTE,
2023-03-12 19:55:52,228 - mylog - INFO - GOBERNADOR GREGORES AIRPORT,古佛纳多尔格雷机场,GOBERNADOR GREGORES,古佛纳多尔格雷,ARGENTINA,阿根廷,GGS,
2023-03-12 19:55:52,338 - mylog - INFO - GUALEGUAYCHU AIRPORT,瓜累乖丘机场,GUALEGUAYCHU,瓜累乖丘,ARGENTINA,阿根廷,GHU,
2023-03-12 19:55:52,434 - mylog - INFO - GENERAL ROCA AIRPORT,罗卡将军机场,GENERAL ROCA,罗卡将军（镇）,ARGENTINA,阿根廷,GNR,
2023-03-12 19:55:52,544 - mylog - INFO - GENERAL PICO AIRPORT,皮科将军机场,GENERAL PICO,皮科将军（镇）,ARGENTINA,阿根廷,GPO,
2023-03-12 19:55:52,650 - mylog - INFO - OSCAR REGUERA AIRPORT,,CHOS MALAL,,ARGENTINA,阿根廷,HOS,
2023-03-12 19:55:52,792 - mylog - INFO - INGENIERO JACOBACCI AIRPORT,英贾科巴西机场,INGENIERO JACOBACCI,英贾科巴西,ARGENTINA,阿根廷,IGB,
2023-03-12 19:55:52,908 - mylog - INFO - CATARATAS AIRPORT,,IGUAZU,伊瓜朱,ARGENTINA,阿根廷,IGR,
2023-03-12 19:55:53,004 - mylog - INFO - LAGO ARGENTINO AIRPORT,阿根廷湖机场,LAGO ARGENTINO,阿根廷湖,ARGENTINA,阿根廷,ING,
2023-03-12 19:55:53,102 - mylog - INFO - LA RIOJA AIRPORT,拉里奥哈机场,LA RIOJA,拉里奥哈,ARGENTINA,阿根廷,IRJ,
2023-03-12 19:55:53,200 - mylog - INFO - JUNIN AIRPORT,胡宁机场,JUNIN,胡宁,ARGENTINA,阿根廷,JNI,
2023-03-12 19:55:53,302 - mylog - INFO - JOSE SAN DE MARTIN AIRPORT,何塞―德圣马丁机场,JOSE SAN DE MARTIN,何塞―德圣马丁,ARGENTINA,阿根廷,JSM,
2023-03-12 19:55:53,410 - mylog - INFO - EL CADILLAL AIRPORT,,JUJUY,胡胡伊,ARGENTINA,阿根廷,JUJ,
2023-03-12 19:55:53,520 - mylog - INFO - LA CUMBRE AIRPORT,拉库布蕾机场,LA CUMBRE,拉库布蕾,ARGENTINA,阿根廷,LCM,
2023-03-12 19:55:53,621 - mylog - INFO - LONCOPUE AIRPORT,,LONCOPUE,,ARGENTINA,阿根廷,LCP,
2023-03-12 19:55:53,722 - mylog - INFO - MALARGUE AIRPORT,玛拉库机场,MALARGUE,玛拉库,ARGENTINA,阿根廷,LGS,
2023-03-12 19:55:53,817 - mylog - INFO - LAS HERAS AIRPORT,,LAS HERAS,,ARGENTINA,阿根廷,LHS,
2023-03-12 19:55:53,916 - mylog - INFO - LAS LOMITAS AIRPORT,拉斯洛米塔斯机场,LAS LOMITAS,拉斯洛米塔斯,ARGENTINA,阿根廷,LLS,
2023-03-12 19:55:54,011 - mylog - INFO - LOS MENUCOS AIRPORT,洛斯梅努科斯机场,LOS MENUCOS,洛斯梅努科斯,ARGENTINA,阿根廷,LMD,
2023-03-12 19:55:54,110 - mylog - INFO - LA PLATA AIRPORT,,LA PLATA,,ARGENTINA,阿根廷,LPG,
2023-03-12 19:55:54,211 - mylog - INFO - SAN LUIS AIRPORT,圣路易斯机场,SAN LUIS,圣路易斯,ARGENTINA,阿根廷,LUQ,
2023-03-12 19:55:54,318 - mylog - INFO - MONTE CASEROS AIRPORT,蒙特卡塞罗斯机场,MONTE CASEROS,蒙特卡塞罗斯,ARGENTINA,阿根廷,MCS,
2023-03-12 19:55:54,428 - mylog - INFO - MAR DEL PLATA AIRPORT,马德普拉塔机场,MAR DEL PLATA,马德普拉塔,ARGENTINA,阿根廷,MDQ,
2023-03-12 19:55:54,528 - mylog - INFO - MERCEDES AIRPORT,梅塞德斯机场,MERCEDES,梅塞德斯,ARGENTINA,阿根廷,MDX,
2023-03-12 19:55:54,626 - mylog - INFO - EL PLUMERILLO AIRPORT,,MENDOZA,门多萨,ARGENTINA,阿根廷,MDZ,
2023-03-12 19:55:54,723 - mylog - INFO - MIRAMAR AIRPORT,美拉华机场,MIRAMAR,美拉华,ARGENTINA,阿根廷,MJR,
2023-03-12 19:55:54,817 - mylog - INFO - MAQUINCHAO AIRPORT,马金乔机场,MAQUINCHAO,马金乔,ARGENTINA,阿根廷,MQD,
2023-03-12 19:55:54,922 - mylog - INFO - NECOCHEA AIRPORT,内科切阿机场,NECOCHEA,内科切阿,ARGENTINA,阿根廷,NEC,
2023-03-12 19:55:55,028 - mylog - INFO - NEUQUEN AIRPORT,内乌肯机场,NEUQUEN,内乌肯,ARGENTINA,阿根廷,NQN,
2023-03-12 19:55:55,131 - mylog - INFO - SAN ANTONIO OESTE AIRPORT,西圣安东尼奥机场,SAN ANTONIO OESTE,西圣安东尼奥,ARGENTINA,阿根廷,OES,
2023-03-12 19:55:55,238 - mylog - INFO - ORAN AIRPORT,奥兰机场,ORAN,奥兰,ARGENTINA,阿根廷,ORA,
2023-03-12 19:55:55,346 - mylog - INFO - OLAVARRIA AIRPORT,奥拉瓦里亚机场,OLAVARRIA,奥拉瓦里亚,ARGENTINA,阿根廷,OVR,
2023-03-12 19:55:55,453 - mylog - INFO - GOYA AIRPORT,戈雅机场,GOYA,戈雅,ARGENTINA,阿根廷,OYA,
2023-03-12 19:55:55,580 - mylog - INFO - TRES ARROYOS AIRPORT,特雷斯阿罗约斯机场,TRES ARROYOS,特雷斯阿罗约斯,ARGENTINA,阿根廷,OYO,
2023-03-12 19:55:55,684 - mylog - INFO - PEHUAJO AIRPORT,佩瓦霍机场,PEHUAJO,佩瓦霍,ARGENTINA,阿根廷,PEH,
2023-03-12 19:55:55,822 - mylog - INFO - PERITO MORENO AIRPORT,佩里托莫雷诺机场,PERITO MORENO,佩里托莫雷诺,ARGENTINA,阿根廷,PMQ,
2023-03-12 19:55:55,937 - mylog - INFO - EL TEHUELCHE AIRPORT,厄尔尼诺尔彻机场,PUERTO MADRYN,普宜陆德玛多林,ARGENTINA,阿根廷,PMY,
2023-03-12 19:55:56,057 - mylog - INFO - PARANA AIRPORT,帕拉那机场,PARANA,帕拉那,ARGENTINA,阿根廷,PRA,
2023-03-12 19:55:56,159 - mylog - INFO - PRES. ROQUE SAENZ PENA AIRPORT,罗克?萨恩斯?培纳总统城机场,PRES. ROQUE SAENZ PENA,罗克?萨恩斯?培纳总统城,ARGENTINA,阿根廷,PRQ,
2023-03-12 19:55:56,261 - mylog - INFO - POSADAS AIRPORT,波萨达斯机场,POSADAS,波萨达斯,ARGENTINA,阿根廷,PSS,
2023-03-12 19:55:56,360 - mylog - INFO - PUERTO DESEADO AIRPORT,德塞阿多港机场,PUERTO DESEADO,德塞阿多港,ARGENTINA,阿根廷,PUD,
2023-03-12 19:55:56,457 - mylog - INFO - BRAGADO,,BRAGADO,布拉加多,ARGENTINA,阿根廷,QRF,
2023-03-12 19:55:56,564 - mylog - INFO - RECONQUISTA AIRPORT,雷肯奎斯塔机场,RECONQUISTA,雷肯奎斯塔,ARGENTINA,阿根廷,RCQ,
2023-03-12 19:55:56,661 - mylog - INFO - RIO CUARTO AIRPORT,里奥夸尔托机场,RIO CUARTO,里奥夸尔托,ARGENTINA,阿根廷,RCU,
2023-03-12 19:55:56,764 - mylog - INFO - TRELEW AIRPORT,特雷利乌机场,TRELEW,特雷利乌,ARGENTINA,阿根廷,REL,
2023-03-12 19:55:56,868 - mylog - INFO - RESISTENCIA AIRPORT,雷西斯滕西亚机场,RESISTENCIA,雷西斯滕西亚,ARGENTINA,阿根廷,RES,
2023-03-12 19:55:56,967 - mylog - INFO - RIO GRANDE AIRPORT,里奥格朗德机场,RIO GRANDE,里奥格朗德,ARGENTINA,阿根廷,RGA,
2023-03-12 19:55:57,063 - mylog - INFO - RIO GALLEGOS INTERNACIONAL AIRPORT,里奥加耶戈斯机场,RIO GALLEGOS,里奥加耶戈斯,ARGENTINA,阿根廷,RGL,
2023-03-12 19:55:57,162 - mylog - INFO - RIO HONDO AIRPORT,,RIO HONDO,,ARGENTINA,阿根廷,RHD,
2023-03-12 19:55:57,269 - mylog - INFO - AEROPUERTO INTERNACIONAL VALLE DEL MERCOSUR S.A.,,MERLO,梅洛,ARGENTINA,阿根廷,RLO,
2023-03-12 19:55:57,372 - mylog - INFO - FISHERTON AIRPORT,,ROSARIO,罗萨里奥,ARGENTINA,阿根廷,ROS,
2023-03-12 19:55:57,473 - mylog - INFO - RIO MAYO AIRPORT,里奥马约机场,RIO MAYO,里奥马约,ARGENTINA,阿根廷,ROY,
2023-03-12 19:55:57,576 - mylog - INFO - SANTA ROSA AIRPORT,圣罗莎机场,SANTA ROSA,圣罗莎,ARGENTINA,阿根廷,RSA,
2023-03-12 19:55:57,676 - mylog - INFO - RIO TURBIO AIRPORT,里奥图尔维奥机场,RIO TURBIO,里奥图尔维奥,ARGENTINA,阿根廷,RYO,
2023-03-12 19:55:57,781 - mylog - INFO - SANTIAGO DEL ESTERO AIRPORT,圣地亚哥埃斯泰罗机场,SANTIAGO DEL ESTERO,圣地亚哥埃斯泰罗,ARGENTINA,阿根廷,SDE,
2023-03-12 19:55:57,883 - mylog - INFO - SANTA FE AIRPORT,圣菲机场,SANTA FE,圣菲,ARGENTINA,阿根廷,SFN,
2023-03-12 19:55:57,986 - mylog - INFO - SIERRA GRANDE AIRPORT,谢拉格兰德机场,SIERRA GRANDE,谢拉格兰德,ARGENTINA,阿根廷,SGV,
2023-03-12 19:55:58,087 - mylog - INFO - GEN BELGRANO AIRPORT,根贝尔格拉诺机场,SALTA,萨尔塔,ARGENTINA,阿根廷,SLA,
